@timestamp,Attacker,AttackerPort,VictimPort,Victim,DnsQName
2026-02-09T07:01:01.189649114Z,192.168.1.50,,,8.8.8.8,ltKCB.ghQDQKaTZHSqET.eGD_-.QHO_-.QrLtKCTk_-.cQlZ7.K7W.IN.
2026-02-09T07:01:01.187282075Z,192.168.0.184,,,192.168.0.1,dii8cp-cdn-settings.appsflyersdk.com.
2026-02-09T07:01:01.189338960Z,192.168.1.50,,,8.8.8.8,Zd4cUAACAAKPI74qAEaAaaGsaQaAa4CHqaevIlJyGcPxGZ5eaEwr7JY3AAAaAHb.LE6zqcAawAAJqBzs3v2zagVBBraSbli546mA7W6LOANGtGaI.a.J.e5.SK.
2026-02-09T07:01:01.188363722Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.219625443Z,192.168.0.184,,,192.168.0.1,privacy-sandbox.appsflyersdk.com.
2026-02-09T07:01:01.218342640Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.218263383Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.188758055Z,192.168.1.50,,,8.8.8.8,erf.hxwyxzxkt-qr.egd_-.c3_-.egfyou_-.qrxfozegfyou_-.218420qr772y8q3eqe839686.k7w.in.
2026-02-09T07:01:01.189023609Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.220086571Z,192.168.0.184,,,192.168.0.1,graph.facebook.com.
2026-02-09T07:01:01.219220578Z,192.168.0.184,,,192.168.0.1,api.blinkit.com.
2026-02-09T07:01:01.218287131Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.218784326Z,192.168.0.184,,,192.168.0.1,www.msftconnecttest.com.
2026-02-09T07:01:01.189243923Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.226243941Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.219244436Z,192.168.0.184,,,192.168.0.1,dii8cp-attr.appsflyersdk.com.
2026-02-09T07:01:01.218324781Z,192.168.0.184,,,192.168.0.1,graph.facebook.com.
2026-02-09T07:01:01.219572174Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.217490352Z,192.168.0.184,,,192.168.0.1,play-fe.googleapis.com.
2026-02-09T07:01:01.188989262Z,192.168.1.50,,,8.8.8.8,ltKCB.ghQDQKaTZHSqET.eGD_-.QHO_-.QrLtKCTk_-.cQlZ7.K7W.IN.
2026-02-09T07:01:01.219601737Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.226016940Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.226689083Z,192.168.0.184,,,192.168.0.1,graph.facebook.com.
2026-02-09T07:01:01.218306441Z,192.168.0.184,,,192.168.0.1,privacy-sandbox.appsflyersdk.com.
2026-02-09T07:01:01.219196668Z,192.168.0.184,,,192.168.0.1,dii8cp-cdn-settings.appsflyersdk.com.
2026-02-09T07:01:01.226607493Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.226065238Z,192.168.0.184,,,192.168.0.1,firebase-settings.crashlytics.com.
2026-02-09T07:01:01.187730494Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.219265290Z,192.168.0.184,,,192.168.0.1,play-fe.googleapis.com.
2026-02-09T07:01:01.218925257Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.226662025Z,192.168.0.184,,,192.168.0.1,privacy-sandbox.appsflyersdk.com.
2026-02-09T07:01:01.187443485Z,192.168.0.184,,,192.168.0.1,dii8cp-attr.appsflyersdk.com.
2026-02-09T07:01:01.187817008Z,192.168.0.184,,,192.168.0.1,privacy-sandbox.appsflyersdk.com.
2026-02-09T07:01:01.220224363Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.220261969Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.188431156Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.190007869Z,192.168.1.50,,,8.8.8.8,Zd4cUAACAAKPI74qAEaAaaGsaQaAa4CHqaevIlJyGcPxGZ5eaEwr7JY3AAAaAHb.LE6zqcAawAAJqBzs3v2zagVBBraSbli546mA7W6LOANGtGaI.a.J.e5.SK.
2026-02-09T07:01:01.225902597Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.225990745Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.226765537Z,192.168.0.184,,,192.168.0.1,www.msftconnecttest.com.
2026-02-09T07:01:01.225650489Z,192.168.0.184,,,192.168.0.1,dii8cp-attr.appsflyersdk.com.
2026-02-09T07:01:01.189592694Z,192.168.1.50,,,8.8.8.8,lzQzoE.ULz.UGc.of_-.XoQllTzL_-.Pl_-.LtkCoEtl_-.DNLQctrqhHEzkS6.7.PL.K7w.in.
2026-02-09T07:01:01.189106976Z,192.168.1.50,,,8.8.8.8,3.1O19sR0094409893P374P18qr8324S83969qqrQ193S4236q09r39p8S47r1032.O6NP5R741q033393648s247p01N84NOQq0oQ6S5P26o530409278P8006R5RR90.r70q7q9239SN81444O3Pp76Q82QR3105O3.082Qq674o3S41966646srRp89s372379rq199s2n.I.00.s.sopHoSXl.net.
2026-02-09T07:01:01.226091562Z,192.168.0.184,,,192.168.0.1,firebaseinstallations.googleapis.com.
2026-02-09T07:01:01.226864108Z,192.168.0.184,,,192.168.0.1,boot.net.anydesk.com.
2026-02-09T07:01:01.226117616Z,192.168.0.184,,,192.168.0.1,dii8cp-cdn-settings.appsflyersdk.com.
2026-02-09T07:01:01.188932872Z,192.168.1.50,,,8.8.8.8,lzQzoE.ULz.UGc.of_-.XoQllTzL_-.Pl_-.LtkCoEtl_-.DNLQctrqhHEzkS6.7.PL.K7w.in.
2026-02-09T07:01:01.225845901Z,192.168.0.184,,,192.168.0.1,graph.facebook.com.
2026-02-09T07:01:01.226217571Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.187194474Z,192.168.0.184,,,192.168.0.1,firebaseinstallations.googleapis.com.
2026-02-09T07:01:01.187674242Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.189720425Z,192.168.1.50,,,8.8.8.8,z5oang.1.424.UASHEOJ7RABQTAFCIGNI3BXHTAGV6V2HRQHZGKSBFOR67KVWIKHXTHUX7GQ57ES.Y2KQUW37CFNIISV5KI66UB3X5IP6ZB33K3VBUAPQAFSYF6G33D356DS7UEJDV4B.GQ7NS6N6XO2XKACYHVXMPPTHOYKGYOOCCTXUKTEWUV5DTHGCUK5KUW3IIDEEOOH.2QAPOVHSJLA888888.d793c547.cnr.io.
2026-02-09T07:01:01.188291001Z,192.168.0.184,,,192.168.0.1,www.msftconnecttest.com.
2026-02-09T07:01:01.188699221Z,192.168.1.50,,,8.8.8.8,wqeatfrtdhsgntk.qlhokofudofrl.egd_-.ztlz_-.ektqzt_-.utzleitrxstreqfrorqztlrqzq_-.leitrxst_-.leitrxstrrtzqosl6984637168512.bslb.k7w.in.
2026-02-09T07:01:01.219285324Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.218724735Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.189778299Z,192.168.1.50,,,8.8.8.8,3.1O19sR0094409893P374P18qr8324S83969qqrQ193S4236q09r39p8S47r1032.O6NP5R741q033393648s247p01N84NOQq0oQ6S5P26o530409278P8006R5RR90.r70q7q9239SN81444O3Pp76Q82QR3105O3.082Qq674o3S41966646srRp89s372379rq199s2n.I.00.s.sopHoSXl.net.
2026-02-09T07:01:01.219095435Z,192.168.0.184,,,192.168.0.1,firebase-settings.crashlytics.com.
2026-02-09T07:01:01.226636647Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.226040318Z,192.168.0.184,,,192.168.0.1,boot.net.anydesk.com.
2026-02-09T07:01:01.226144092Z,192.168.0.184,,,192.168.0.1,api.blinkit.com.
2026-02-09T07:01:01.220281650Z,192.168.0.184,,,192.168.0.1,boot.net.anydesk.com.
2026-02-09T07:01:01.226192604Z,192.168.0.184,,,192.168.0.1,play-fe.googleapis.com.
2026-02-09T07:01:01.188141382Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.226169014Z,192.168.0.184,,,192.168.0.1,dii8cp-attr.appsflyersdk.com.
2026-02-09T07:01:01.225706190Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.189281790Z,192.168.1.50,,,8.8.8.8,3.1o19SS009N9rO968P3p7o9nqR830N2N4n958Rr8QNo8s10rs5262SR740qSq522.088por741Q437393648S2Q125S12qRN970O3ps5RP6O53040237n5801rR9s2nn.q9125n9n29SnS0694773N309q0oo0037o8s51oNp9511QR.N4nP20n071qPS2708PRqs93q2S63030810PNOo85.I.00.s.SoPhoSXL.neT.
2026-02-09T07:01:01.220244600Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.187560860Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.217468370Z,192.168.0.184,,,192.168.0.1,dii8cp-attr.appsflyersdk.com.
2026-02-09T07:01:01.226813956Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.190064272Z,192.168.0.184,,,192.168.0.1,firebase-settings.crashlytics.com.
2026-02-09T07:01:01.225678846Z,192.168.0.184,,,192.168.0.1,play-fe.googleapis.com.
2026-02-09T07:01:01.187617448Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.226840130Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.225552002Z,192.168.0.184,,,192.168.0.1,dii8cp-cdn-settings.appsflyersdk.com.
2026-02-09T07:01:01.226790180Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.189166449Z,192.168.1.50,,,8.8.8.8,3sfbo1.0.224.MUK7H3YZYLIT2K2AG56TAMBQGAYDAMDCHA2TSY444DGHQF62YYNI7P6RLXBY4HS.ZF2CVQ5RLGEYS5SA43HCHUQK7TOLBOBEVWYEPZ5S32B5U7WETY6O2A3EYTI7CZT.FFY2FB7WPXYAS4EQB6SL5BX2N7GWQKKBAZVGAA2J7JK4H45P2DN7PDHSX7EUIXR.S27L3V5ICQ5GEKIP2K5AIGLXWVDMT.d90d6802.cnr.io.
2026-02-09T07:01:01.187357557Z,192.168.0.184,,,192.168.0.1,api.blinkit.com.
2026-02-09T07:01:01.189046908Z,192.168.1.50,,,8.8.8.8,z5oang.1.424.UASHEOJ7RABQTAFCIGNI3BXHTAGV6V2HRQHZGKSBFOR67KVWIKHXTHUX7GQ57ES.Y2KQUW37CFNIISV5KI66UB3X5IP6ZB33K3VBUAPQAFSYF6G33D356DS7UEJDV4B.GQ7NS6N6XO2XKACYHVXMPPTHOYKGYOOCCTXUKTEWUV5DTHGCUK5KUW3IIDEEOOH.2QAPOVHSJLA888888.d793c547.cnr.io.
2026-02-09T07:01:01.225622469Z,192.168.0.184,,,192.168.0.1,api.blinkit.com.
2026-02-09T07:01:01.189837414Z,192.168.1.50,,,8.8.8.8,3sfbo1.0.224.MUK7H3YZYLIT2K2AG56TAMBQGAYDAMDCHA2TSY444DGHQF62YYNI7P6RLXBY4HS.ZF2CVQ5RLGEYS5SA43HCHUQK7TOLBOBEVWYEPZ5S32B5U7WETY6O2A3EYTI7CZT.FFY2FB7WPXYAS4EQB6SL5BX2N7GWQKKBAZVGAA2J7JK4H45P2DN7PDHSX7EUIXR.S27L3V5ICQ5GEKIP2K5AIGLXWVDMT.d90d6802.cnr.io.
2026-02-09T07:01:01.189224472Z,192.168.1.50,,,8.8.8.8,sl4kca.0.224.MUK7H3YZYLIT2K2AG56TAMBQGAYDAMDCHA2WCMSHOUEQ3QHU7NNZ4AJIYGGOWEZ.67LYHJHVCKVDG3HCNI7IDBOIR5AFWLA7PP7L4YP37NIJARAIXN6C6C6ORBYHBRE.JU4KRXQC6TYOMU2YUDR5JESBVJ6HTENXHSQTBNUU4GPWDPLU.
2026-02-09T07:01:01.187504413Z,192.168.0.184,,,192.168.0.1,play-fe.googleapis.com.
2026-02-09T07:01:01.218852552Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.189392841Z,192.168.0.184,,,192.168.0.1,firebase-settings.crashlytics.com.
2026-02-09T07:01:01.217536475Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.225733091Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.188552097Z,192.168.0.184,,,192.168.0.1,play-fe.googleapis.com.
2026-02-09T07:01:01.220201564Z,192.168.0.184,,,192.168.0.1,www.msftconnecttest.com.
2026-02-09T07:01:01.225792125Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.226714279Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.188269180Z,192.168.0.184,,,192.168.0.1,firebaseinstallations.googleapis.com.
2026-02-09T07:01:01.188608473Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.225938168Z,192.168.0.184,,,192.168.0.1,www.msftconnecttest.com.
2026-02-09T07:01:01.225819468Z,192.168.0.184,,,192.168.0.1,privacy-sandbox.appsflyersdk.com.
2026-02-09T07:01:01.226739106Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.188352566Z,192.168.0.184,,,192.168.0.1,dii8cp-cdn-settings.appsflyersdk.com.
2026-02-09T07:01:01.188968154Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.225758725Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.188211116Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.188610955Z,192.168.0.184,,,192.168.0.1,boot.net.anydesk.com.
2026-02-09T07:01:01.188495663Z,192.168.0.184,,,192.168.0.1,dii8cp-attr.appsflyersdk.com.
2026-02-09T07:01:01.189418214Z,192.168.1.50,,,8.8.8.8,erf.hxwyxzxkt-qr.egd_-.c3_-.egfyou_-.qrxfozegfyou_-.218420qr772y8q3eqe839686.k7w.in.
2026-02-09T07:00:32.011084794Z,192.168.0.184,,,192.168.0.1,play-fe.googleapis.com.
2026-02-09T07:01:01.188664331Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.188434626Z,192.168.0.184,,,192.168.0.1,api.blinkit.com.
2026-02-09T07:01:01.188832077Z,192.168.0.184,,,192.168.0.1,privacy-sandbox.appsflyersdk.com.
2026-02-09T07:01:01.189535015Z,192.168.1.50,,,8.8.8.8,cortg-qahev.lhgzoynerf.egd_-.ltudtfzl_-.c6_-.gkouofl_-.w6qee2rwq3r330rey9q96280r7yqwtq4_-.lgxketl_-.78ee9t8383tw817w150e7594ry575482_-.tfegroful_-.1t2y8605800766y50qtqq612r3772q70_-.hkgyostl_-.64_-.815.vtwd.k7w.in.
2026-02-09T07:00:32.042374786Z,192.168.1.50,,,8.8.8.8,lzQzoE.ULz.UGc.of_-.XoQllTzL_-.Pl_-.LtkCoEtl_-.DNLQctrqhHEzkS6.7.PL.K7w.in.
2026-02-09T07:01:01.188904481Z,192.168.0.184,,,192.168.0.1,graph.facebook.com.
2026-02-09T07:01:01.188720694Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
2026-02-09T07:01:01.189083265Z,192.168.0.184,,,192.168.0.1,www.msftconnecttest.com.
2026-02-09T07:01:01.189951246Z,192.168.1.50,,,8.8.8.8,3.1o19SS009N9rO968P3p7o9nqR830N2N4n958Rr8QNo8s10rs5262SR740qSq522.088por741Q437393648S2Q125S12qRN970O3ps5RP6O53040237n5801rR9s2nn.q9125n9n29SnS0694773N309q0oo0037o8s51oNp9511QR.N4nP20n071qPS2708PRqs93q2S63030810PNOo85.I.00.s.SoPhoSXL.neT.
2026-02-09T07:00:32.043209791Z,192.168.1.50,,,8.8.8.8,sl4kca.0.224.MUK7H3YZYLIT2K2AG56TAMBQGAYDAMDCHA2WCMSHOUEQ3QHU7NNZ4AJIYGGOWEZ.67LYHJHVCKVDG3HCNI7IDBOIR5AFWLA7PP7L4YP37NIJARAIXN6C6C6ORBYHBRE.JU4KRXQC6TYOMU2YUDR5JESBVJ6HTENXHSQTBNUU4GPWDPLU.
2026-02-09T07:01:01.189190883Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:01:01.188776741Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.217405954Z,192.168.0.184,,,192.168.0.1,dii8cp-cdn-settings.appsflyersdk.com.
2026-02-09T07:01:01.187874528Z,192.168.0.184,,,192.168.0.1,graph.facebook.com.
2026-02-09T07:00:32.043251489Z,192.168.1.50,,,8.8.8.8,Zd4cUAACAAKPI74qAEaAaaGsaQaAa4CHqaevIlJyGcPxGZ5eaEwr7JY3AAAaAHb.LE6zqcAawAAJqBzs3v2zagVBBraSbli546mA7W6LOANGtGaI.a.J.e5.SK.
2026-02-09T07:01:01.220177930Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.189137357Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.217511099Z,192.168.0.184,,,192.168.0.1,dns.msftncsi.com.
2026-02-09T07:00:32.016545973Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.189894507Z,192.168.1.50,,,8.8.8.8,sl4kca.0.224.MUK7H3YZYLIT2K2AG56TAMBQGAYDAMDCHA2WCMSHOUEQ3QHU7NNZ4AJIYGGOWEZ.67LYHJHVCKVDG3HCNI7IDBOIR5AFWLA7PP7L4YP37NIJARAIXN6C6C6ORBYHBRE.JU4KRXQC6TYOMU2YUDR5JESBVJ6HTENXHSQTBNUU4GPWDPLU.
2026-02-09T07:01:01.189299679Z,192.168.0.184,,,192.168.0.1,boot.net.anydesk.com.
2026-02-09T07:01:01.218981115Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:00:32.017834137Z,192.168.0.184,,,192.168.0.1,graph.facebook.com.
2026-02-09T07:00:32.017535281Z,192.168.0.184,,,192.168.0.1,firebase-settings.crashlytics.com.
2026-02-09T07:01:01.188500891Z,192.168.0.184,,,192.168.0.1,ipv6.msftncsi.com.
2026-02-09T07:01:01.189360830Z,192.168.1.50,,,8.8.8.8,wqeatfrtdhsgntk.qlhokofudofrl.egd_-.ztlz_-.ektqzt_-.utzleitrxstreqfrorqztlrqzq_-.leitrxst_-.leitrxstrrtzqosl6984637168512.bslb.k7w.in.
2026-02-09T07:01:01.225964100Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:00:32.010791521Z,192.168.1.50,,,8.8.8.8,lzQzoE.ULz.UGc.of_-.XoQllTzL_-.Pl_-.LtkCoEtl_-.DNLQctrqhHEzkS6.7.PL.K7w.in.
2026-02-09T07:00:32.016523323Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:01:01.188874142Z,192.168.1.50,,,8.8.8.8,cortg-qahev.lhgzoynerf.egd_-.ltudtfzl_-.c6_-.gkouofl_-.w6qee2rwq3r330rey9q96280r7yqwtq4_-.lgxketl_-.78ee9t8383tw817w150e7594ry575482_-.tfegroful_-.1t2y8605800766y50qtqq612r3772q70_-.hkgyostl_-.64_-.815.vtwd.k7w.in.
2026-02-09T07:01:01.217447455Z,192.168.0.184,,,192.168.0.1,api.blinkit.com.
2026-02-09T07:01:01.189476146Z,192.168.1.50,,,8.8.8.8,lzqzoe.fodwxldugcesgxr.of_-.mdqos_-.vh_-.qlltzl_-.pl_-.rtyqxsz-vtwqhhl_pl_qhh_egflzqfzl_egddgf-tctfz-fqdtl_pl-vtwqh_-5.hl_pl_xzosl_egddgf-tctfzl-tdozztk-940t3q.ry35rw04784w5rt5t7y2.pl.k7w.in.
2026-02-09T07:00:32.010725365Z,192.168.1.50,,,8.8.8.8,lzqzoe.fodwxldugcesgxr.of_-.mdqos_-.vh_-.qlltzl_-.pl_-.rtyqxsz-vtwqhhl_pl_qhh_egflzqfzl_egddgf-tctfz-fqdtl_pl-vtwqh_-5.hl_pl_xzosl_egddgf-tctfzl-tdozztk-940t3q.ry35rw04784w5rt5t7y2.pl.k7w.in.
2026-02-09T07:00:32.044653526Z,192.168.0.184,,,192.168.0.1,dii8cp-launches.appsflyersdk.com.
2026-02-09T07:00:32.017681789Z,192.168.0.184,,,192.168.0.1,play-fe.googleapis.com.
2026-02-09T07:01:01.219037990Z,192.168.0.184,,,192.168.0.1,boot.net.anydesk.com.
2026-02-09T07:01:01.188816656Z,192.168.1.50,,,8.8.8.8,lzqzoe.fodwxldugcesgxr.of_-.mdqos_-.vh_-.qlltzl_-.pl_-.rtyqxsz-vtwqhhl_pl_qhh_egflzqfzl_egddgf-tctfz-fqdtl_pl-vtwqh_-5.hl_pl_xzosl_egddgf-tctfzl-tdozztk-940t3q.ry35rw04784w5rt5t7y2.pl.k7w.in.
2026-02-09T07:00:32.044814405Z,192.168.1.50,,,8.8.8.8,lzqzoe.fodwxldugcesgxr.of_-.mdqos_-.vh_-.qlltzl_-.pl_-.rtyqxsz-vtwqhhl_pl_qhh_egflzqfzl_egddgf-tctfz-fqdtl_pl-vtwqh_-5.hl_pl_xzosl_egddgf-tctfzl-tdozztk-940t3q.ry35rw04784w5rt5t7y2.pl.k7w.in.
2026-02-09T07:00:32.044970030Z,192.168.1.50,,,8.8.8.8,3sfbo1.0.224.MUK7H3YZYLIT2K2AG56TAMBQGAYDAMDCHA2TSY444DGHQF62YYNI7P6RLXBY4HS.ZF2CVQ5RLGEYS5SA43HCHUQK7TOLBOBEVWYEPZ5S32B5U7WETY6O2A3EYTI7CZT.FFY2FB7WPXYAS4EQB6SL5BX2N7GWQKKBAZVGAA2J7JK4H45P2DN7PDHSX7EUIXR.S27L3V5ICQ5GEKIP2K5AIGLXWVDMT.d90d6802.cnr.io.
2026-02-09T07:00:32.044740458Z,192.168.0.184,,,192.168.0.1,boot.net.anydesk.com.
2026-02-09T07:01:01.219151862Z,192.168.0.184,,,192.168.0.1,firebaseinstallations.googleapis.com.
2026-02-09T07:01:01.219306021Z,192.168.0.184,,,192.168.0.1,dii8cp-conversions.appsflyersdk.com.
