DstIP,domainName_SSlServerName
103.86.176.182,dc.crsorgi.gov.in.lndex.in
103.191.208.202,dc.crsorgi.gov.in.crsweb.xyz
103.49.131.60,parivahan.gov.in.audio
103.224.182.242,dc.crsorgi.gov.in.crs.lndex.co
157.90.176.32,dc.crsorgi.gov.in.web.index.php.aothi.info
148.251.67.115,dc.crsorgi.gov.in.web.lndex.tech
103.25.131.208,dc.crsorgi.gov.in.crsmitra.xyz
86.107.77.62,crsorgi.gov.in.jhgrow.org
193.27.90.69,dc.crsorgi.gov.in.viaw.in
103.224.212.214,dc.crsorgi.gov.in.web.php.lndex.site
86.107.77.32,dc.crsorgi.gov.in.imgpdf.top
86.107.77.54,dc.crsorgi.gov.in.web.verfy.in
125.21.240.67,dc.crsorgi.gov.in.web.index.auth.dc-verifycertificate.info
92.204.162.165,dc.crsorgi.gov.in.web.index.php.indexcloud.info
103.92.235.251,maharashtra.gov.in.studentemarks.in
125.21.240.67,dc.crsorgi.gov.in.digital-csc.in
103.235.104.150,dc.crsorgi.gov.in.web.index.dobviwe.in
103.224.182.253,crsorgi.gov.in.web.index.php.auth.viewcert.site
172.233.219.123,crsorgi.gov.in.web.index.php.viewcert.org
15.197.240.20,dc.crsorgi.gov.in.indexin.shop
168.119.60.222,dc.crsorgi.gov.in.ogri.live
185.187.152.11,dc.crsorgi.gov.in.lndex.in.net
148.251.67.115,crsorgi.gov.in.web.lndex.click
172.237.146.38,crsorgi.gov.in.web.index.php.viewcert.org
