SourceIP,SrcPort,DstIP,DstPort,AppId,octetTotalCount,octetTotalCount_reverse,packetTotalCount_vpn,packetTotalCount_reverse_vpn,durationSeconds
203.78.214.186,19045,173.243.140.16,443,443,4524,9700,19,12,35.815
223.239.27.94,28581,47.246.0.212,443,443,5585,159260,75,128,32.836
14.195.31.98,54862,35.240.137.130,27017,443,3383,8193,14,10,10.287
14.97.165.138,58608,20.207.100.22,8443,443,3830,2485,11,8,0.162
223.176.115.9,26305,54.192.151.84,443,443,2350,44585,28,39,8.841
14.99.190.46,37620,34.36.73.246,443,443,2469,3711,10,9,30.061
223.185.197.89,57701,72.145.35.113,443,443,1796,3391,12,8,1.19
2401:4900:8852:c487:2e0f:1373:c27e:a247,43706,2600:9000:219a:e00:f:6ebe:7d00:93a1,443,443,2346,7697,14,16,0.321
2401:4900:5085:99ea:1:0:cf8d:7ea6,37144,2a04:4e42:5a::820,443,443,2082,6555,11,12,0.224
14.96.128.67,20452,52.111.209.3,443,443,24934,54882,79,78,309.987
180.151.69.66,60892,54.85.149.255,443,443,16503,3076,13,8,11.156
14.195.10.85,5991,72.154.7.105,443,443,1163,3659,12,11,1.289
27.107.25.178,61578,13.232.6.220,8883,443,609,5921,8,11,0.04
2401:4900:5b04:175f::624:817d,56994,2620:1ec:51::12,443,443,1832,6307,10,13,29.939
106.217.143.2,40070,34.93.186.237,443,443,5590,127871,60,102,1.04
14.195.200.242,61815,52.111.240.11,443,443,885,7891,7,9,0.645
106.195.14.92,39130,108.159.91.115,443,443,1459,5747,13,10,0.6
45.121.2.128,55381,54.224.241.105,443,443,2100,8051,18,19,1.937
47.11.21.214,40126,13.32.251.56,443,443,1738,6134,13,11,5.085
194.119.5.92,55704,52.108.36.33,443,443,7116,8891,16,15,1.905
103.173.148.5,15275,20.190.145.160,443,443,1001,1935,8,5,0.619
2401:4900:4943:3232:1:2:cf97:902d,57676,2600:1901:0:8956::,443,443,3048,6251,23,20,1.118
2401:4900:5947:5a1b:8883:c11a:b095:acf6,49362,2a04:4e42:42::820,443,443,3347,12722,19,24,2.395
115.160.222.26,47060,52.168.117.170,443,443,20379,5718,22,18,1.294
112.79.5.190,35706,34.149.82.222,443,443,196703,17489665,3364,12367,85.439
106.196.73.97,37662,34.149.90.90,443,443,1980,24780,18,28,0.45
157.45.212.32,49856,18.155.33.84,443,443,3331,49451,41,42,2.849
27.107.76.14,60298,150.171.22.11,443,443,832,10882,9,12,0.159
45.127.44.26,4153,148.113.16.14,443,443,18805,30250,400,553,5991.47
157.32.139.248,57386,54.230.27.3,443,443,2323,5118,11,10,16.77
14.97.3.35,64017,34.54.243.150,443,443,1518,5306,10,11,0.9
27.107.60.118,22683,18.213.94.35,443,443,2559,5462,11,12,0.82
2402:3a80:33d:a8b1::92b8:cff1,60404,2600:1901:0:8956::,443,443,2064,5109,16,17,25.466
157.10.248.93,57628,54.224.241.105,443,443,3717,6869,20,23,66.715
110.224.16.221,3506,15.197.87.102,443,443,4344,13989,25,26,9.107
103.97.106.92,37314,52.200.226.241,443,443,2285,6346,16,14,2.042
106.210.253.194,63452,108.159.91.34,443,443,2533,7685,15,18,1.599
119.2.125.183,21588,151.101.38.13,443,443,9518,9794,121,122,831.544
106.220.117.84,14932,13.32.251.51,443,443,3057,35883,34,31,2.963
115.160.223.150,56790,13.205.50.49,443,443,1296,4000,7,8,0.118
103.4.221.252,65252,34.47.206.11,5223,443,3601,7151,11,10,0.948
112.110.58.2,13254,35.190.118.8,443,443,3551,5468,20,22,25.828
115.160.212.22,64914,47.87.128.65,28080,443,531,2261,6,4,0.34
27.107.38.246,14749,52.66.92.132,3003,443,6596,7437,27,25,3.029
20.189.172.73,443,14.99.103.154,44716,443,3387,1621,5,9,0.695
2402:3a80:4548:618:0:15:48a3:f501,55038,2600:1901:0:8956::,443,443,1476,4281,11,9,0.191
152.59.46.227,31774,3.163.238.4,443,443,1173,4801,11,11,30.265
106.200.150.97,3984,101.133.196.109,443,443,1941,4586,13,11,10.983
103.76.232.166,18956,20.195.125.173,443,443,8623,6855,16,9,0.413
103.76.232.160,38956,20.195.125.173,443,443,8349,6842,14,11,0.743
103.83.211.155,32927,168.149.182.164,8443,443,1201,6076,11,13,1.044
223.227.32.59,17679,129.227.29.60,443,443,1990,7991,14,13,30.854
103.175.177.19,50458,129.227.29.115,443,443,2127,8038,15,14,30.39
110.226.196.254,16126,151.101.37.155,443,443,20048,2696875,317,2027,9.185
14.97.17.82,51769,35.200.149.73,443,443,2105,40,5,1,33.071
2401:4900:5f93:3e77::63b:397e,54200,2a02:b48:9001::9,443,443,12872,198600,154,154,17.851
205.254.168.139,60952,185.206.26.41,443,443,106064,8542249,2121,4857,46.024
106.220.117.188,2875,18.155.49.105,443,443,2957,35561,33,30,1.022
139.5.250.25,44366,100.52.165.89,443,443,1520,5392,5,7,0.741
14.97.17.242,50765,34.149.211.227,443,443,3792,431,6,5,0.073
203.78.214.170,9298,129.146.228.3,17472,443,5189,7740,14,16,1.973
223.239.29.76,64929,185.199.109.153,443,443,1599,5773,12,11,0.609
14.194.91.134,62064,51.158.253.90,44461,443,13231,4626,24,14,8.272
111.93.146.2,6397,151.101.195.52,443,443,995,4251,8,9,0.03
157.50.94.35,36614,18.155.49.62,443,443,2400,33883,23,33,1.319
117.96.43.81,7415,18.66.63.104,443,443,3963,68189,59,58,2.084
117.237.10.10,20066,54.225.3.213,443,443,845,8292,6,12,5.628
27.107.110.182,64896,3.217.201.194,443,443,1486,5309,9,12,46.636
2401:4900:b1b:e3fa:0:60:8690:8901,54446,2a04:4e42:42::820,443,443,2294,6504,14,15,0.156
