@timestamp,Domain,SourceIP,SrcPort,DstIP,DstPort
2026-02-04T04:50:15.735053746Z,dc.crsorgi.gov.in.web.index.auth.dc-verifycertificate.info.,112.133.232.116,47863,157.90.176.32,443
2026-02-04T05:10:34.650577769Z,ybnu.ac.in.app.erp.ybnu.net.in.,103.59.209.147,1539,62.77.156.17,443
2026-02-04T05:10:34.650349865Z,ybnu.ac.in.app.erp.ybnu.net.in.,103.59.209.147,1539,62.77.156.17,443
2026-02-04T04:50:15.735073274Z,dc.crsorgi.gov.in.web.index.auth.dc-verifycertificate.info.,112.133.232.116,47863,157.90.176.32,443
2026-02-04T19:46:06.892880731Z,bcrec.ac.in.bcrecdgp.net.in.,66.249.79.172,48731,103.50.160.165,443
2026-02-04T19:46:06.894271582Z,bcrec.ac.in.bcrecdgp.net.in.,66.249.79.172,48731,103.50.160.165,443
2026-02-08T23:00:07.868583687Z,dc.crsorgi.gov.in.index.web-index.info.,139.84.135.52,45810,86.107.77.32,443
2026-02-04T17:50:21.626124413Z,myscheme.gov.in.en2mr.search.translate.goog.,2401:4900:52f6:73db:b952:4f95:16d2:c6bb,42174,2404:6800:4009:82b::2001,443
2026-02-04T17:50:21.624664457Z,myscheme.gov.in.en2mr.search.translate.goog.,2401:4900:52f6:73db:b952:4f95:16d2:c6bb,42174,2404:6800:4009:82b::2001,443
2026-02-06T07:50:25.562308181Z,dc.crsorgi.gov.in.crs.lndex.co.,152.58.187.171,41544,103.224.182.242,443
2026-02-06T07:50:25.561854970Z,dc.crsorgi.gov.in.crs.lndex.co.,152.58.187.171,41544,103.224.182.242,443
2026-02-06T07:50:12.115622787Z,dc.crsorgi.gov.in.crs.lndex.co.,152.58.187.171,41544,103.224.182.242,443
2026-02-06T07:50:12.116143007Z,dc.crsorgi.gov.in.crs.lndex.co.,152.58.187.171,41544,103.224.182.242,443
2026-02-04T09:14:26.898481252Z,rojgar.uk.gov.in.en2hi.search.translate.goog.,2402:8100:2676:8093::b72b:26f5,56952,2404:6800:4009:825::2001,443
2026-02-04T09:14:26.901197397Z,rojgar.uk.gov.in.en2hi.search.translate.goog.,2402:8100:2676:8093::b72b:26f5,56952,2404:6800:4009:825::2001,443
2026-02-04T10:20:11.665963315Z,dcc.crsorgi.gov.in.crsor.in.,154.84.248.128,35906,95.217.44.98,443
2026-02-04T10:20:11.664648560Z,dcc.crsorgi.gov.in.crsor.in.,154.84.248.128,35906,95.217.44.98,443
2026-02-07T09:08:30.631755122Z,dc.crsorgi.gov.in.crs.lndex.co.,103.30.117.143,51156,103.224.182.242,443
2026-02-05T12:40:18.779286577Z,dc.crsorgi.gov.in.crsweb.xyz.,117.212.218.138,62645,103.191.208.202,443
2026-02-05T12:40:18.777898400Z,dc.crsorgi.gov.in.crsweb.xyz.,117.212.218.138,62645,103.191.208.202,443
2026-02-04T17:12:09.211314191Z,bcrec.ac.in.bcrecdgp.net.in.,66.249.79.171,57712,103.50.160.165,443
2026-02-06T14:00:09.551192756Z,dc.crsorgi.gov.in.crs.lndex.co.,103.30.117.143,50174,103.224.182.242,443
2026-02-06T09:32:07.920371792Z,crsorgi.gov.in.web.lndex.click.,223.189.212.177,20954,125.21.240.67,443
2026-02-08T15:04:10.575680097Z,comtax.uk.gov.in.bringwebsite.com.,139.84.135.52,42490,208.91.196.152,443
2026-02-07T09:08:30.630369911Z,dc.crsorgi.gov.in.crs.lndex.co.,103.30.117.143,51156,103.224.182.242,443
2026-02-06T14:00:09.551224687Z,dc.crsorgi.gov.in.crs.lndex.co.,103.30.117.143,50174,103.224.182.242,443
2026-02-06T07:26:23.854864361Z,dc.crsorgi.gov.in.crs.lndex.co.,103.30.117.143,62775,103.224.182.242,443
2026-02-04T17:12:09.214085196Z,bcrec.ac.in.bcrecdgp.net.in.,66.249.79.171,57712,103.50.160.165,443
2026-02-06T12:16:24.139178359Z,crsorgi.gov.in.web.index.php.viewcerti.xyz.,202.168.85.33,27959,69.62.82.192,443
2026-02-08T23:00:07.868482151Z,dc.crsorgi.gov.in.index.web-index.info.,139.84.135.52,45810,86.107.77.32,443
2026-02-08T14:10:34.505623252Z,comtax.uk.gov.in.bringwebsite.com.,139.84.135.52,39820,208.91.196.152,443
2026-02-08T14:10:34.504393516Z,comtax.uk.gov.in.bringwebsite.com.,139.84.135.52,39820,208.91.196.152,443
2026-02-06T07:26:23.854539440Z,dc.crsorgi.gov.in.crs.lndex.co.,103.30.117.143,62775,103.224.182.242,443
2026-02-07T22:52:12.018256141Z,dc.crsorgi.gov.in.verifyinfo.xyz.,157.34.19.232,52358,5.39.63.196,443
2026-02-06T12:16:24.137046556Z,crsorgi.gov.in.web.index.php.viewcerti.xyz.,202.168.85.33,27959,69.62.82.192,443
2026-02-07T07:24:18.662046042Z,dc.crsorgi.gov.in.crs.lndex.co.,110.224.0.185,42694,103.224.182.242,443
2026-02-07T07:24:30.061188476Z,dc.crsorgi.gov.in.crs.lndex.co.,110.224.0.185,42694,103.224.182.242,443
2026-02-07T07:24:30.059802560Z,dc.crsorgi.gov.in.crs.lndex.co.,110.224.0.185,42694,103.224.182.242,443
2026-02-07T10:02:23.425676314Z,dc.crsorgi.gov.in.crsweb.xyz.,139.5.0.192,12943,103.191.208.202,443
2026-02-06T09:32:07.920296068Z,crsorgi.gov.in.web.lndex.click.,223.189.212.177,20954,125.21.240.67,443
2026-02-06T09:32:07.921350848Z,crsorgi.gov.in.web.lndex.click.,223.189.212.177,20954,125.21.240.67,443
2026-02-06T09:32:07.921399574Z,crsorgi.gov.in.web.lndex.click.,223.189.212.177,20954,125.21.240.67,443
2026-02-05T03:36:08.758914912Z,dc.crsorgi.gov.in.lndex.in.,117.234.224.44,62996,103.86.176.182,443
2026-02-07T10:02:23.426413292Z,dc.crsorgi.gov.in.crsweb.xyz.,139.5.0.192,12943,103.191.208.202,443
2026-02-07T18:12:23.503447757Z,cht.gov.in.prostats.org.,122.162.144.32,23692,85.190.241.169,443
2026-02-05T03:36:06.688397654Z,dc.crsorgi.gov.in.lndex.in.,117.234.224.44,62996,103.86.176.182,443
2026-02-05T03:36:08.759182743Z,dc.crsorgi.gov.in.lndex.in.,117.234.224.44,62996,103.86.176.182,443
2026-02-07T07:24:18.660723891Z,dc.crsorgi.gov.in.crs.lndex.co.,110.224.0.185,42694,103.224.182.242,443
2026-02-06T02:34:18.167558525Z,parcel.indianrail.gov.in.en2hi.search.translate.goog.,2401:4900:5274:ca77:88e6:d7ff:fe9b:2f11,38786,2404:6800:4002:830::2001,443
2026-02-05T03:36:06.688861978Z,dc.crsorgi.gov.in.lndex.in.,117.234.224.44,62996,103.86.176.182,443
2026-02-07T11:38:27.848360626Z,dc.csrorgi.gov.in.crs-verifycertificate.in.,59.88.219.165,63887,68.178.149.68,443
2026-02-07T11:38:27.847754955Z,dc.csrorgi.gov.in.crs-verifycertificate.in.,59.88.219.165,63887,68.178.149.68,443
2026-02-06T02:34:18.169874249Z,parcel.indianrail.gov.in.en2hi.search.translate.goog.,2401:4900:5274:ca77:88e6:d7ff:fe9b:2f11,38786,2404:6800:4002:830::2001,443
2026-02-08T13:16:18.951206374Z,comtax.uk.gov.in.bringwebsite.com.,139.84.135.52,38294,208.91.196.152,443
2026-02-08T22:10:02.247843696Z,112.rcil.gov.in.wwwlb-staging.tradove.com.,139.84.135.52,51390,34.237.156.211,443
2026-02-08T17:24:14.148915495Z,comtax.uk.gov.in.bringwebsite.com.,139.84.135.52,53138,208.91.196.152,443
2026-02-08T12:22:23.620453872Z,112.rcil.gov.in.wwwlb-staging.tradove.com.,139.84.135.52,58962,34.237.156.211,443
2026-02-08T12:22:23.620161447Z,112.rcil.gov.in.wwwlb-staging.tradove.com.,139.84.135.52,58962,34.237.156.211,443
2026-02-07T17:22:16.466940031Z,crsorgi.gov.in.web.index.php.viawcert.org.,106.206.46.248,6140,172.233.219.49,443
2026-02-07T17:22:16.465977573Z,crsorgi.gov.in.web.index.php.viawcert.org.,106.206.46.248,6140,172.233.219.49,443
2026-02-07T17:22:25.097525583Z,crsorgi.gov.in.web.index.php.viawcert.org.,106.206.46.248,6140,172.233.219.49,443
2026-02-08T19:16:17.000922376Z,112.rcil.gov.in.wwwlb-staging.tradove.com.,139.84.135.52,54328,34.237.156.211,443
2026-02-08T15:04:10.575202421Z,comtax.uk.gov.in.bringwebsite.com.,139.84.135.52,42490,208.91.196.152,443
2026-02-08T19:16:16.900700274Z,112.rcil.gov.in.wwwlb-staging.tradove.com.,139.84.135.52,54328,34.237.156.211,443
2026-02-08T19:16:17.000660771Z,112.rcil.gov.in.wwwlb-staging.tradove.com.,139.84.135.52,54328,34.237.156.211,443
2026-02-08T19:16:16.900892754Z,112.rcil.gov.in.wwwlb-staging.tradove.com.,139.84.135.52,54328,34.237.156.211,443
2026-02-07T18:12:23.503025658Z,cht.gov.in.prostats.org.,122.162.144.32,23692,85.190.241.169,443
2026-02-08T17:24:14.147866234Z,comtax.uk.gov.in.bringwebsite.com.,139.84.135.52,53138,208.91.196.152,443
2026-02-08T13:16:18.950030255Z,comtax.uk.gov.in.bringwebsite.com.,139.84.135.52,38294,208.91.196.152,443
2026-02-07T17:22:25.096715198Z,crsorgi.gov.in.web.index.php.viawcert.org.,106.206.46.248,6140,172.233.219.49,443
2026-02-08T22:10:02.247709567Z,112.rcil.gov.in.wwwlb-staging.tradove.com.,139.84.135.52,51390,34.237.156.211,443
2026-02-08T14:18:25.964605688Z,dc.crsorgi.gov.in.lndex.in.,223.228.186.189,20832,103.86.176.182,443
2026-02-08T14:18:25.963337828Z,dc.crsorgi.gov.in.lndex.in.,223.228.186.189,20832,103.86.176.182,443
2026-02-07T22:52:12.018649858Z,dc.crsorgi.gov.in.verifyinfo.xyz.,157.34.19.232,52358,5.39.63.196,443
